run_name,experiment_name,model_count,benchmark_count,models,benchmarks,has_baseline,has_pools,has_sweep,has_aggregate,has_pipeline_result,status,path
crb_v2_bundle__deepseek_r1_distill_qwen_7b__truthfulqa_mc__099fdfc0b6539fea,crb_v2_bundle__deepseek_r1_distill_qwen_7b__truthfulqa_mc,1,1,deepseek_r1_distill_qwen_7b,truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__truthfulqa_mc__099fdfc0b6539fea
crb_v2_bundle__llama31_8b_instruct__arc_challenge__7a57417c1d621307,crb_v2_bundle__llama31_8b_instruct__arc_challenge,1,1,llama31_8b_instruct,arc_challenge,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__arc_challenge__7a57417c1d621307
crb_v2_bundle__llama31_8b_instruct__boolq__3becf7cab70120bf,crb_v2_bundle__llama31_8b_instruct__boolq,1,1,llama31_8b_instruct,boolq,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__boolq__3becf7cab70120bf
crb_v2_bundle__llama31_8b_instruct__gpqa__7a8966eb8d202d54,crb_v2_bundle__llama31_8b_instruct__gpqa,1,1,llama31_8b_instruct,gpqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__gpqa__7a8966eb8d202d54
crb_v2_bundle__llama31_8b_instruct__gsm8k__f3b244516fb24c5a,crb_v2_bundle__llama31_8b_instruct__gsm8k,1,1,llama31_8b_instruct,gsm8k,True,True,False,False,False,partial,results_v2/crb_v2_bundle__llama31_8b_instruct__gsm8k__f3b244516fb24c5a
crb_v2_bundle__llama31_8b_instruct__hellaswag__ce3db1cdfa2b5c00,crb_v2_bundle__llama31_8b_instruct__hellaswag,1,1,llama31_8b_instruct,hellaswag,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__hellaswag__ce3db1cdfa2b5c00
crb_v2_bundle__llama31_8b_instruct__math500__10fd9b2aa7c771e3,crb_v2_bundle__llama31_8b_instruct__math500,1,1,llama31_8b_instruct,math500,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__math500__10fd9b2aa7c771e3
crb_v2_bundle__llama31_8b_instruct__mmlu_pro__cf203fa972fa43a8,crb_v2_bundle__llama31_8b_instruct__mmlu_pro,1,1,llama31_8b_instruct,mmlu_pro,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__mmlu_pro__cf203fa972fa43a8
crb_v2_bundle__llama31_8b_instruct__mmlu_redux_2__7bf0df6860ee03aa,crb_v2_bundle__llama31_8b_instruct__mmlu_redux_2,1,1,llama31_8b_instruct,mmlu_redux_2,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__mmlu_redux_2__7bf0df6860ee03aa
crb_v2_bundle__llama31_8b_instruct__piqa__d36b4e0676fd8ac0,crb_v2_bundle__llama31_8b_instruct__piqa,1,1,llama31_8b_instruct,piqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__piqa__d36b4e0676fd8ac0
crb_v2_bundle__llama31_8b_instruct__truthfulqa_mc__52c7066005266694,crb_v2_bundle__llama31_8b_instruct__truthfulqa_mc,1,1,llama31_8b_instruct,truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_bundle__llama31_8b_instruct__truthfulqa_mc__52c7066005266694
crb_v2_bundle__mistral7b_instruct_v03__arc_challenge__67788cb0d7af8c48,crb_v2_bundle__mistral7b_instruct_v03__arc_challenge,1,1,mistral7b_instruct_v03,arc_challenge,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__arc_challenge__67788cb0d7af8c48
crb_v2_bundle__mistral7b_instruct_v03__boolq__f0b3b1b9dca5df66,crb_v2_bundle__mistral7b_instruct_v03__boolq,1,1,mistral7b_instruct_v03,boolq,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__boolq__f0b3b1b9dca5df66
crb_v2_bundle__mistral7b_instruct_v03__gpqa__93bc1fa898e4a6e4,crb_v2_bundle__mistral7b_instruct_v03__gpqa,1,1,mistral7b_instruct_v03,gpqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__gpqa__93bc1fa898e4a6e4
crb_v2_bundle__mistral7b_instruct_v03__gsm8k__3940d0fe942cb614,crb_v2_bundle__mistral7b_instruct_v03__gsm8k,1,1,mistral7b_instruct_v03,gsm8k,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__gsm8k__3940d0fe942cb614
crb_v2_bundle__mistral7b_instruct_v03__hellaswag__48e5e95100c81859,crb_v2_bundle__mistral7b_instruct_v03__hellaswag,1,1,mistral7b_instruct_v03,hellaswag,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__hellaswag__48e5e95100c81859
crb_v2_bundle__mistral7b_instruct_v03__math500__b6c1e07f68d23d89,crb_v2_bundle__mistral7b_instruct_v03__math500,1,1,mistral7b_instruct_v03,math500,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__math500__b6c1e07f68d23d89
crb_v2_bundle__mistral7b_instruct_v03__mmlu_pro__79e948cb38bb7a0c,crb_v2_bundle__mistral7b_instruct_v03__mmlu_pro,1,1,mistral7b_instruct_v03,mmlu_pro,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__mmlu_pro__79e948cb38bb7a0c
crb_v2_bundle__mistral7b_instruct_v03__mmlu_redux_2__346e61a27076e28e,crb_v2_bundle__mistral7b_instruct_v03__mmlu_redux_2,1,1,mistral7b_instruct_v03,mmlu_redux_2,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__mmlu_redux_2__346e61a27076e28e
crb_v2_bundle__mistral7b_instruct_v03__piqa__071a4e7da26e974d,crb_v2_bundle__mistral7b_instruct_v03__piqa,1,1,mistral7b_instruct_v03,piqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__piqa__071a4e7da26e974d
crb_v2_bundle__mistral7b_instruct_v03__truthfulqa_mc__1a5271f4fa9aad2c,crb_v2_bundle__mistral7b_instruct_v03__truthfulqa_mc,1,1,mistral7b_instruct_v03,truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_bundle__mistral7b_instruct_v03__truthfulqa_mc__1a5271f4fa9aad2c
crb_v2_bundle__olmo2_1124_7b_instruct__gsm8k__d73432b240581452,crb_v2_bundle__olmo2_1124_7b_instruct__gsm8k,1,1,olmo2_1124_7b_instruct,gsm8k,False,False,False,False,False,config_only,results_v2/crb_v2_bundle__olmo2_1124_7b_instruct__gsm8k__d73432b240581452
crb_v2_bundle__phi4_mini_instruct__arc_challenge__95fbb8b67afdb37a,crb_v2_bundle__phi4_mini_instruct__arc_challenge,1,1,phi4_mini_instruct,arc_challenge,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__arc_challenge__95fbb8b67afdb37a
crb_v2_bundle__phi4_mini_instruct__boolq__01dca916eaf25eaa,crb_v2_bundle__phi4_mini_instruct__boolq,1,1,phi4_mini_instruct,boolq,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__boolq__01dca916eaf25eaa
crb_v2_bundle__phi4_mini_instruct__gpqa__94b540679cc93887,crb_v2_bundle__phi4_mini_instruct__gpqa,1,1,phi4_mini_instruct,gpqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__gpqa__94b540679cc93887
crb_v2_bundle__phi4_mini_instruct__gsm8k__3a8faa437caced9f,crb_v2_bundle__phi4_mini_instruct__gsm8k,1,1,phi4_mini_instruct,gsm8k,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__gsm8k__3a8faa437caced9f
crb_v2_bundle__phi4_mini_instruct__hellaswag__a3d3222f1bc52166,crb_v2_bundle__phi4_mini_instruct__hellaswag,1,1,phi4_mini_instruct,hellaswag,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__hellaswag__a3d3222f1bc52166
crb_v2_bundle__phi4_mini_instruct__math500__d19532115d86adfa,crb_v2_bundle__phi4_mini_instruct__math500,1,1,phi4_mini_instruct,math500,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__math500__d19532115d86adfa
crb_v2_bundle__phi4_mini_instruct__mmlu_pro__ae70d3c14a163287,crb_v2_bundle__phi4_mini_instruct__mmlu_pro,1,1,phi4_mini_instruct,mmlu_pro,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__mmlu_pro__ae70d3c14a163287
crb_v2_bundle__phi4_mini_instruct__mmlu_redux_2__75fce16a3a237f19,crb_v2_bundle__phi4_mini_instruct__mmlu_redux_2,1,1,phi4_mini_instruct,mmlu_redux_2,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__mmlu_redux_2__75fce16a3a237f19
crb_v2_bundle__phi4_mini_instruct__piqa__3624b0e5423d7205,crb_v2_bundle__phi4_mini_instruct__piqa,1,1,phi4_mini_instruct,piqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__piqa__3624b0e5423d7205
crb_v2_bundle__phi4_mini_instruct__truthfulqa_mc__5ad9ce0dbf17062e,crb_v2_bundle__phi4_mini_instruct__truthfulqa_mc,1,1,phi4_mini_instruct,truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_bundle__phi4_mini_instruct__truthfulqa_mc__5ad9ce0dbf17062e
crb_v2_bundle__qwen25_7b_instruct__arc_challenge__07d795f1438ba330,crb_v2_bundle__qwen25_7b_instruct__arc_challenge,1,1,qwen25_7b_instruct,arc_challenge,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__arc_challenge__07d795f1438ba330
crb_v2_bundle__qwen25_7b_instruct__boolq__5957e07d9dc75897,crb_v2_bundle__qwen25_7b_instruct__boolq,1,1,qwen25_7b_instruct,boolq,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__boolq__5957e07d9dc75897
crb_v2_bundle__qwen25_7b_instruct__gpqa__ab51455012308ffa,crb_v2_bundle__qwen25_7b_instruct__gpqa,1,1,qwen25_7b_instruct,gpqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__gpqa__ab51455012308ffa
crb_v2_bundle__qwen25_7b_instruct__gsm8k__7f5f42722f056e65,crb_v2_bundle__qwen25_7b_instruct__gsm8k,1,1,qwen25_7b_instruct,gsm8k,True,True,True,False,False,partial,results_v2/crb_v2_bundle__qwen25_7b_instruct__gsm8k__7f5f42722f056e65
crb_v2_bundle__qwen25_7b_instruct__hellaswag__826fdfaf78a7a26d,crb_v2_bundle__qwen25_7b_instruct__hellaswag,1,1,qwen25_7b_instruct,hellaswag,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__hellaswag__826fdfaf78a7a26d
crb_v2_bundle__qwen25_7b_instruct__math500__bc2d83d0575ec27d,crb_v2_bundle__qwen25_7b_instruct__math500,1,1,qwen25_7b_instruct,math500,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__math500__bc2d83d0575ec27d
crb_v2_bundle__qwen25_7b_instruct__mmlu_pro__3ba758253a74a154,crb_v2_bundle__qwen25_7b_instruct__mmlu_pro,1,1,qwen25_7b_instruct,mmlu_pro,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__mmlu_pro__3ba758253a74a154
crb_v2_bundle__qwen25_7b_instruct__mmlu_redux_2__49ea60a2d00abd32,crb_v2_bundle__qwen25_7b_instruct__mmlu_redux_2,1,1,qwen25_7b_instruct,mmlu_redux_2,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__mmlu_redux_2__49ea60a2d00abd32
crb_v2_bundle__qwen25_7b_instruct__piqa__254d257d4ac71bb5,crb_v2_bundle__qwen25_7b_instruct__piqa,1,1,qwen25_7b_instruct,piqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__piqa__254d257d4ac71bb5
crb_v2_bundle__qwen25_7b_instruct__truthfulqa_mc__4ddf54f6c75a3361,crb_v2_bundle__qwen25_7b_instruct__truthfulqa_mc,1,1,qwen25_7b_instruct,truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_bundle__qwen25_7b_instruct__truthfulqa_mc__4ddf54f6c75a3361
crb_v2_bundle__qwq_32b__gsm8k__c6d1d22cd4a73592,crb_v2_bundle__qwq_32b__gsm8k,1,1,qwq_32b,gsm8k,False,False,False,False,False,config_only,results_v2/crb_v2_bundle__qwq_32b__gsm8k__c6d1d22cd4a73592
crb_v2_full__deepseek_r1_distill_qwen_7b__6c51e3ee9175b54c,crb_v2_full__deepseek_r1_distill_qwen_7b,1,10,deepseek_r1_distill_qwen_7b,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,True,False,False,partial,results_v2/crb_v2_full__deepseek_r1_distill_qwen_7b__6c51e3ee9175b54c
crb_v2_full__gemma2_9b_it__21e02501cb0b60df,crb_v2_full__gemma2_9b_it,1,10,gemma2_9b_it,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,False,False,False,False,False,config_only,results_v2/crb_v2_full__gemma2_9b_it__21e02501cb0b60df
crb_v2_full__gemma2_9b_it_eager__1364013bee50c304,crb_v2_full__gemma2_9b_it_eager,1,10,gemma2_9b_it,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,False,False,False,False,False,config_only,results_v2/crb_v2_full__gemma2_9b_it_eager__1364013bee50c304
crb_v2_full__llama31_8b_instruct__d79d4f0349d597a0,crb_v2_full__llama31_8b_instruct,1,10,llama31_8b_instruct,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,False,False,False,partial,results_v2/crb_v2_full__llama31_8b_instruct__d79d4f0349d597a0
crb_v2_full__mistral7b_instruct_v03__e6693e0117c31aae,crb_v2_full__mistral7b_instruct_v03,1,10,mistral7b_instruct_v03,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,False,False,False,partial,results_v2/crb_v2_full__mistral7b_instruct_v03__e6693e0117c31aae
crb_v2_full__mistral_small_24b_instruct_2501__030ab7ccbdac9afc,crb_v2_full__mistral_small_24b_instruct_2501,1,10,mistral_small_24b_instruct_2501,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,True,False,False,partial,results_v2/crb_v2_full__mistral_small_24b_instruct_2501__030ab7ccbdac9afc
crb_v2_full__olmo2_1124_7b_instruct__1bb113a6877ee620,crb_v2_full__olmo2_1124_7b_instruct,1,10,olmo2_1124_7b_instruct,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,False,False,False,False,False,config_only,results_v2/crb_v2_full__olmo2_1124_7b_instruct__1bb113a6877ee620
crb_v2_full__phi4_mini_instruct__5849c095fdc7ff30,crb_v2_full__phi4_mini_instruct,1,10,phi4_mini_instruct,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,True,True,True,complete,results_v2/crb_v2_full__phi4_mini_instruct__5849c095fdc7ff30
crb_v2_full__qwen25_7b_instruct__b212faf67c7cae2a,crb_v2_full__qwen25_7b_instruct,1,10,qwen25_7b_instruct,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,False,False,False,partial,results_v2/crb_v2_full__qwen25_7b_instruct__b212faf67c7cae2a
crb_v2_full__qwq_32b__0d2c0cd3d77df2f8,crb_v2_full__qwq_32b,1,10,qwq_32b,gsm8k|math500|gpqa|arc_challenge|mmlu_pro|mmlu_redux_2|hellaswag|piqa|boolq|truthfulqa_mc,True,True,True,False,False,partial,results_v2/crb_v2_full__qwq_32b__0d2c0cd3d77df2f8
crb_v2_smoke__llama31_8b_instruct__gsm8k_gpqa__9e19b4b9b0242895,crb_v2_smoke__llama31_8b_instruct__gsm8k_gpqa,1,2,llama31_8b_instruct,gsm8k|gpqa,True,True,True,True,True,complete,results_v2/crb_v2_smoke__llama31_8b_instruct__gsm8k_gpqa__9e19b4b9b0242895
crb_v2_smoke__qwen25_7b_instruct__gsm8k_gpqa__15a44e399e688507,crb_v2_smoke__qwen25_7b_instruct__gsm8k_gpqa,1,2,qwen25_7b_instruct,gsm8k|gpqa,True,True,True,True,True,complete,results_v2/crb_v2_smoke__qwen25_7b_instruct__gsm8k_gpqa__15a44e399e688507
manifests,,0,0,,,False,False,False,False,False,config_only,results_v2/manifests
mock_fixture_smoke__1717ebb2a46d6bc6,mock_fixture_smoke,1,2,mock_model,fixture_mcq|fixture_numeric,True,True,True,True,True,complete,results_v2/mock_fixture_smoke__1717ebb2a46d6bc6
pilot_qwen_llama_gsm8k_boolq__0434a7c315f54eec,pilot_qwen_llama_gsm8k_boolq,2,2,qwen25_7b_instruct|llama31_8b_instruct,gsm8k|boolq,True,True,True,True,True,complete,results_v2/pilot_qwen_llama_gsm8k_boolq__0434a7c315f54eec
pilot_qwen_llama_gsm8k_boolq_fix1__37025e5ec2b31c81,pilot_qwen_llama_gsm8k_boolq_fix1,2,2,qwen25_7b_instruct|llama31_8b_instruct,gsm8k|boolq,True,True,True,True,True,complete,results_v2/pilot_qwen_llama_gsm8k_boolq_fix1__37025e5ec2b31c81
summary,,0,0,,,False,False,False,False,False,config_only,results_v2/summary
