wave,model_key,benchmark_key,relation,relation_available,sample_type,k_values
pilot,qwen25_7b_instruct,arc_challenge,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,qwen25_7b_instruct,arc_challenge,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,qwen25_7b_instruct,arc_challenge,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,qwen25_7b_instruct,arc_challenge,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gsm8k,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,math500,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,gpqa,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,llama31_8b_instruct,arc_challenge,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gsm8k,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,math500,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,gpqa,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,phi4_mini_instruct,arc_challenge,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gsm8k,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,math500,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,gpqa,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,same_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,same_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,same_domain_other_benchmark,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,same_domain_other_benchmark,True,model_incorrect,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,cross_domain,True,model_correct,0|1|2|4|8|16|32
pilot,deepseek_r1_distill_qwen_7b,arc_challenge,cross_domain,True,model_incorrect,0|1|2|4|8|16|32
